id,intent,question,answer,category,keywords,difficulty,source
general_qa_0001,GENERAL,What is a Private Limited Company?,"A Private Limited Company is a privately held business entity with limited liability, requiring 2-200 shareholders and minimum 2 directors. It's a separate legal entity that can own assets, incur debts, and enter contracts. Shareholders' liability is limited to their share capital investment.",business_structure,"private limited, pvt ltd",beginner,Comprehensive manual curation
general_qa_0002,GENERAL,What are advantages of Private Limited Company?,"Advantages: (1) Limited liability for shareholders, (2) Separate legal entity, (3) Easy VC funding, (4) Perpetual succession, (5) Credibility, (6) Can issue ESOPs, (7) Tax benefits, (8) Easy share transfer",business_structure,pvt ltd advantages,beginner,Comprehensive manual curation
general_qa_0003,GENERAL,What are disadvantages of Private Limited Company?,"Disadvantages: (1) Higher compliance, (2) Higher costs, (3) Restricted share transfer, (4) Minimum 2 directors needed, (5) Regulatory scrutiny, (6) Mandatory audit, (7) Public disclosure to ROC",business_structure,pvt ltd disadvantages,beginner,Comprehensive manual curation
general_qa_0004,GENERAL,How many directors needed for Pvt Ltd?,"Minimum 2 directors, maximum 15. At least one must be Indian resident (182+ days/year). All need DIN and DSC.",business_structure,"directors, pvt ltd",beginner,Comprehensive manual curation
general_qa_0005,GENERAL,Can one person start Pvt Ltd?,"No, minimum 2 directors and 2 shareholders required. One person can start OPC (One Person Company) instead.",business_structure,"single person, opc",beginner,Comprehensive manual curation
general_qa_0006,GENERAL,What is LLP?,"Limited Liability Partnership combines partnership flexibility with limited liability. Minimum 2 partners, no maximum. Separate legal entity with partners' liability limited to contribution.",business_structure,"llp, partnership",beginner,Comprehensive manual curation
general_qa_0007,GENERAL,What are LLP advantages?,"Advantages: (1) Limited liability, (2) Lower compliance vs Pvt Ltd, (3) No minimum capital, (4) Flexible profit sharing, (5) Separate legal entity, (6) Lower audit threshold",business_structure,llp advantages,beginner,Comprehensive manual curation
general_qa_0008,GENERAL,What are LLP disadvantages?,"Disadvantages: (1) Hard to raise VC funding, (2) Cannot issue ESOPs, (3) Cannot convert to Public Ltd for IPO, (4) All partners need DIN/DSC, (5) Mandatory annual filings",business_structure,llp disadvantages,beginner,Comprehensive manual curation
general_qa_0009,GENERAL,LLP vs Pvt Ltd - which is better?,"Pvt Ltd for: VC funding, ESOPs, IPO plans, scalable startups. LLP for: Professional services, lower compliance, no external funding needed, partnership flexibility.",business_structure,llp vs pvt ltd,beginner,Comprehensive manual curation
general_qa_0010,GENERAL,Who should choose LLP?,"Best for: CA firms, law firms, consultants, architects, professional services. Not suitable for product startups seeking VC funding.",business_structure,llp suitability,beginner,Comprehensive manual curation
general_qa_0011,GENERAL,What is One Person Company?,OPC is company with single shareholder/member. Provides limited liability to solo entrepreneur. Needs 1 director (can be same person) and 1 nominee.,business_structure,"opc, one person company",beginner,Comprehensive manual curation
general_qa_0012,GENERAL,What are OPC advantages?,"Advantages: (1) Single ownership, (2) Limited liability, (3) Separate legal entity, (4) No minimum capital, (5) Easier compliance, (6) Can convert to Pvt Ltd, (7) Credibility",business_structure,opc advantages,beginner,Comprehensive manual curation
general_qa_0013,GENERAL,What are OPC limitations?,"Limitations: (1) Only Indian citizens/residents, (2) Hard to raise VC funding, (3) Turnover limit ₹2Cr, (4) Capital limit ₹50L, (5) Cannot do NBFC activities, (6) Only one member",business_structure,opc limitations,beginner,Comprehensive manual curation
general_qa_0014,GENERAL,When must OPC convert to Pvt Ltd?,"Mandatory conversion when: (1) Annual turnover exceeds ₹2 crores, OR (2) Paid-up capital exceeds ₹50 lakhs. Must convert within 6 months.",business_structure,opc conversion,beginner,Comprehensive manual curation
general_qa_0015,GENERAL,Can NRI start OPC?,"No, only Indian citizens who are residents of India can incorporate OPC. NRIs cannot form OPC.",business_structure,opc nri,beginner,Comprehensive manual curation
general_qa_0016,GENERAL,What is Partnership Firm?,Business where 2-50 persons share profits/losses. Governed by Partnership Act 1932. Partners have unlimited liability. Registration optional but recommended.,business_structure,partnership firm,beginner,Comprehensive manual curation
general_qa_0017,GENERAL,Registered vs Unregistered Partnership?,"Registered: Can sue third parties, partners can sue firm, legal recognition. Unregistered: Cannot sue third parties, limited legal protection. Always register.",business_structure,partnership registration,beginner,Comprehensive manual curation
general_qa_0018,GENERAL,What is Partnership Deed?,"Legal document defining partnership terms: profit sharing, capital contribution, duties, dispute resolution, admission/retirement of partners. Must be on stamp paper.",business_structure,partnership deed,beginner,Comprehensive manual curation
general_qa_0019,GENERAL,What is Sole Proprietorship?,Simplest structure owned by single person. No legal distinction between owner and business - unlimited liability. No ROC registration needed.,business_structure,sole proprietorship,beginner,Comprehensive manual curation
general_qa_0020,GENERAL,Sole Proprietorship advantages?,"Advantages: (1) Easy setup, (2) Minimal compliance, (3) Complete control, (4) All profits to owner, (5) Easy to dissolve, (6) Lower costs, (7) Privacy",business_structure,proprietorship advantages,beginner,Comprehensive manual curation
general_qa_0021,GENERAL,Sole Proprietorship disadvantages?,"Disadvantages: (1) Unlimited liability, (2) Hard to raise funding, (3) Limited credibility, (4) No perpetual succession, (5) Cannot issue shares, (6) Limited growth",business_structure,proprietorship disadvantages,beginner,Comprehensive manual curation
general_qa_0022,GENERAL,How to register Private Limited Company?,"Steps: (1) Get DSC for directors, (2) Apply for DIN, (3) Reserve company name via RUN, (4) Draft MOA and AOA, (5) File SPICe+ form, (6) Pay fees, (7) Get Certificate of Incorporation with PAN/TAN",company_registration,"pvt ltd registration, incorporation",beginner,Comprehensive manual curation
general_qa_0023,GENERAL,What is DSC?,Digital Signature Certificate - electronic signature for directors to sign documents digitally. Mandatory for company incorporation. Valid for 1-2 years. Cost: ₹500-1500.,company_registration,"dsc, digital signature",beginner,Comprehensive manual curation
general_qa_0024,GENERAL,What is DIN?,Director Identification Number - unique 8-digit number for every director. Mandatory for all directors. Lifetime validity. Applied via SPICe+ or DIR-3 form.,company_registration,"din, director number",beginner,Comprehensive manual curation
general_qa_0025,GENERAL,How to choose company name?,"Rules: (1) Check availability on MCA portal, (2) Not similar to existing companies, (3) Not identical to trademarks, (4) No offensive words, (5) Not prohibited words without approval, (6) Add Pvt Ltd/LLP suffix",company_registration,"company name, name approval",beginner,Comprehensive manual curation
general_qa_0026,GENERAL,What is RUN service?,Reserve Unique Name - MCA service to reserve company name. Can propose 2 names. Approval in 1-2 days. Reserved for 20 days. Part of SPICe+ Part A.,company_registration,"run, name reservation",beginner,Comprehensive manual curation
general_qa_0027,GENERAL,Documents for company registration?,"Required: (1) PAN/Passport of directors, (2) Aadhaar/address proof, (3) Photos, (4) Office address proof (utility bill <2 months), (5) Rent agreement + NOC if rented, (6) DSC, (7) DIN, (8) MOA, (9) AOA",company_registration,"documents required, incorporation documents",beginner,Comprehensive manual curation
general_qa_0028,GENERAL,What is MOA?,"Memorandum of Association - defines company's objectives, scope of activities, authorized capital, and relationship with outside world. Must be filed with ROC.",company_registration,"moa, memorandum",beginner,Comprehensive manual curation
general_qa_0029,GENERAL,What is AOA?,"Articles of Association - defines internal management rules, rights/duties of directors and shareholders, meeting procedures, share transfer rules. Company's internal constitution.",company_registration,"aoa, articles",beginner,Comprehensive manual curation
general_qa_0030,GENERAL,What is authorized capital?,Maximum capital company can raise by issuing shares. No minimum limit. Determines stamp duty during incorporation. Can be increased later by paying additional fees.,company_registration,"authorized capital, share capital",beginner,Comprehensive manual curation
general_qa_0031,GENERAL,What is paid-up capital?,Actual amount of capital paid by shareholders for shares. Can be less than authorized capital. No minimum requirement for Pvt Ltd/OPC.,company_registration,paid-up capital,beginner,Comprehensive manual curation
general_qa_0032,GENERAL,Company registration cost?,"Costs: (1) Government fees: ₹500-10,000 (based on capital), (2) Stamp duty: varies by state, (3) Professional fees: ₹5,000-15,000, (4) DSC: ₹500-1500. Total: ₹10,000-30,000 typically.",company_registration,"registration cost, incorporation fees",beginner,Comprehensive manual curation
general_qa_0033,GENERAL,How long does incorporation take?,Timeline: 7-15 working days typically. Can extend to 30 days if document issues. Fully online process via MCA portal.,company_registration,"incorporation timeline, registration time",beginner,Comprehensive manual curation
general_qa_0034,GENERAL,Is minimum capital required?,"No minimum capital for Pvt Ltd and OPC. Can start with ₹1,000. Consider practical needs for operations and licenses.",company_registration,minimum capital,beginner,Comprehensive manual curation
