Investor Name,Type,Sector Focus,Ticket Size (Crores),Stage,Location,Notable Investments
Sequoia Capital India,VC,Technology,50-200,Series A-C,Bangalore,"Zomato, Byju's, Ola"
Accel Partners,VC,SaaS/Technology,20-100,Seed-Series B,Bangalore,"Freshworks, Swiggy, Urban Company"
Blume Ventures,VC,Early Stage,2-20,Seed-Series A,Mumbai,"Dunzo, Cashfree, Unacademy"
Nexus Venture Partners,VC,Technology,10-50,Seed-Series B,Bangalore,"Postman, Delhivery, Rapido"
Kalaari Capital,VC,Consumer Tech,5-30,Seed-Series A,Bangalore,"Dream11, Snapdeal, Myntra"
SAIF Partners,VC,Technology,20-100,Series A-C,Gurgaon,"Paytm, MakeMyTrip, JustDial"
Matrix Partners India,VC,Technology,10-80,Seed-Series B,Bangalore,"Ola, Razorpay, Dailyhunt"
Lightspeed India,VC,Enterprise/Consumer,15-100,Series A-C,Bangalore,"Oyo, Byju's, Udaan"
Tiger Global,VC,Technology,50-500,Series B-D,Mumbai,"Flipkart, PolicyBazaar, Groww"
Elevation Capital,VC,Technology,20-150,Series A-C,Bangalore,"Paytm, Swiggy, Meesho"
Chiratae Ventures,VC,Deep Tech,5-40,Seed-Series B,Bangalore,"Lenskart, FirstCry, Cure.fit"
Stellaris Venture Partners,VC,SaaS/Deep Tech,3-25,Seed-Series A,Bangalore,"Whatfix, Hasura, Mamaearth"
Fireside Ventures,VC,Consumer Brands,5-50,Series A-B,Mumbai,"Mamaearth, Boat, Yoga Bar"
Inventus Capital,VC,Enterprise Tech,5-30,Seed-Series A,Bangalore,"Mu Sigma, Manthan, Druva"
India Quotient,VC,Early Stage,1-10,Seed,Bangalore,"Licious, Sugar Cosmetics, Sharechat"
